;Sweep Count;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
;Sweep Time (s);391.000E-3;20.393E+0;40.409E+0;60.426E+0;80.435E+0;100.444E+0;120.449E+0;140.468E+0;160.469E+0;180.471E+0;200.472E+0;220.473E+0;240.474E+0;260.475E+0;280.475E+0;300.476E+0;320.477E+0;340.478E+0;360.479E+0;380.480E+0;400.480E+0;420.481E+0;440.482E+0;460.483E+0;480.484E+0;500.485E+0;520.486E+0;540.487E+0;560.487E+0
Sample Point;Sample Time (us);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);
49;4800;-37.831E-12;-33.102E-12;-33.102E-12;-28.373E-12;-45.712E-12;-40.984E-12;-42.560E-12;-56.747E-12;-74.086E-12;-74.086E-12;-85.120E-12;-91.425E-12;-102.459E-12;-113.493E-12;-115.069E-12;-133.985E-12;-148.171E-12;-193.884E-12;-214.376E-12;-241.173E-12;-266.393E-12;-272.698E-12;-272.698E-12;-288.461E-12;-283.733E-12;-286.885E-12;-296.343E-12;-297.919E-12;-290.038E-12
50;4900;-33.102E-12;-31.526E-12;-39.407E-12;-31.526E-12;-47.289E-12;-40.984E-12;-39.407E-12;-53.594E-12;-69.357E-12;-78.815E-12;-85.120E-12;-88.272E-12;-99.306E-12;-100.883E-12;-115.069E-12;-116.646E-12;-143.443E-12;-190.731E-12;-222.257E-12;-238.020E-12;-277.427E-12;-267.970E-12;-279.004E-12;-285.309E-12;-282.156E-12;-290.038E-12;-293.190E-12;-299.495E-12;-293.190E-12
51;5000;-34.678E-12;-22.068E-12;-39.407E-12;-28.373E-12;-45.712E-12;-29.950E-12;-40.984E-12;-47.289E-12;-75.662E-12;-80.391E-12;-86.696E-12;-85.120E-12;-105.612E-12;-107.188E-12;-119.798E-12;-127.680E-12;-151.324E-12;-200.189E-12;-226.986E-12;-233.291E-12;-266.393E-12;-266.393E-12;-290.038E-12;-279.004E-12;-286.885E-12;-293.190E-12;-296.343E-12;-296.343E-12;-293.190E-12
52;5100;-34.678E-12;-26.797E-12;-39.407E-12;-29.950E-12;-50.441E-12;-39.407E-12;-45.712E-12;-50.441E-12;-63.052E-12;-88.272E-12;-89.849E-12;-83.543E-12;-94.578E-12;-100.883E-12;-108.764E-12;-130.832E-12;-154.477E-12;-203.342E-12;-225.410E-12;-253.783E-12;-266.393E-12;-267.970E-12;-290.038E-12;-282.156E-12;-283.733E-12;-296.343E-12;-301.072E-12;-297.919E-12;-294.767E-12
53;5200;-28.373E-12;-33.102E-12;-33.102E-12;-36.255E-12;-45.712E-12;-40.984E-12;-44.136E-12;-47.289E-12;-69.357E-12;-88.272E-12;-91.425E-12;-88.272E-12;-89.849E-12;-102.459E-12;-122.951E-12;-138.714E-12;-152.900E-12;-197.036E-12;-219.105E-12;-244.325E-12;-263.241E-12;-269.546E-12;-274.275E-12;-280.580E-12;-290.038E-12;-286.885E-12;-305.801E-12;-293.190E-12;-291.614E-12
54;5300;-28.373E-12;-36.255E-12;-40.984E-12;-36.255E-12;-37.831E-12;-37.831E-12;-48.865E-12;-61.475E-12;-70.933E-12;-80.391E-12;-81.967E-12;-86.696E-12;-100.883E-12;-107.188E-12;-122.951E-12;-140.290E-12;-148.171E-12;-198.613E-12;-220.681E-12;-233.291E-12;-261.664E-12;-261.664E-12;-285.309E-12;-274.275E-12;-288.461E-12;-283.733E-12;-296.343E-12;-286.885E-12;-290.038E-12
55;5400;-34.678E-12;-23.644E-12;-39.407E-12;-36.255E-12;-44.136E-12;-40.984E-12;-44.136E-12;-59.899E-12;-74.086E-12;-75.662E-12;-81.967E-12;-91.425E-12;-100.883E-12;-105.612E-12;-118.222E-12;-135.561E-12;-148.171E-12;-192.308E-12;-217.528E-12;-241.173E-12;-260.088E-12;-263.241E-12;-291.614E-12;-275.851E-12;-288.461E-12;-285.309E-12;-294.767E-12;-291.614E-12;-293.190E-12
56;5500;-26.797E-12;-20.492E-12;-25.221E-12;-31.526E-12;-28.373E-12;-45.712E-12;-40.984E-12;-61.475E-12;-67.781E-12;-80.391E-12;-80.391E-12;-86.696E-12;-96.154E-12;-97.730E-12;-122.951E-12;-137.137E-12;-143.443E-12;-203.342E-12;-212.799E-12;-250.630E-12;-269.546E-12;-261.664E-12;-290.038E-12;-274.275E-12;-283.733E-12;-285.309E-12;-294.767E-12;-291.614E-12;-294.767E-12
57;5600;-28.373E-12;-28.373E-12;-37.831E-12;-29.950E-12;-29.950E-12;-42.560E-12;-39.407E-12;-58.323E-12;-63.052E-12;-80.391E-12;-85.120E-12;-85.120E-12;-93.001E-12;-100.883E-12;-116.646E-12;-137.137E-12;-152.900E-12;-203.342E-12;-219.105E-12;-236.444E-12;-266.393E-12;-277.427E-12;-277.427E-12;-272.698E-12;-275.851E-12;-293.190E-12;-305.801E-12;-293.190E-12;-290.038E-12
58;5700;-33.102E-12;-26.797E-12;-31.526E-12;-23.644E-12;-39.407E-12;-33.102E-12;-47.289E-12;-50.441E-12;-74.086E-12;-75.662E-12;-80.391E-12;-93.001E-12;-97.730E-12;-107.188E-12;-116.646E-12;-133.985E-12;-149.748E-12;-209.647E-12;-219.105E-12;-234.867E-12;-267.970E-12;-269.546E-12;-286.885E-12;-277.427E-12;-291.614E-12;-296.343E-12;-297.919E-12;-299.495E-12;-288.461E-12
59;5800;-29.950E-12;-37.831E-12;-37.831E-12;-26.797E-12;-36.255E-12;-42.560E-12;-39.407E-12;-55.170E-12;-75.662E-12;-83.543E-12;-86.696E-12;-96.154E-12;-104.035E-12;-107.188E-12;-126.103E-12;-133.985E-12;-143.443E-12;-192.308E-12;-217.528E-12;-241.173E-12;-263.241E-12;-274.275E-12;-288.461E-12;-277.427E-12;-274.275E-12;-293.190E-12;-296.343E-12;-297.919E-12;-302.648E-12
60;5900;-34.678E-12;-34.678E-12;-34.678E-12;-23.644E-12;-39.407E-12;-36.255E-12;-44.136E-12;-52.018E-12;-63.052E-12;-81.967E-12;-91.425E-12;-88.272E-12;-88.272E-12;-107.188E-12;-116.646E-12;-135.561E-12;-157.629E-12;-197.036E-12;-217.528E-12;-239.596E-12;-266.393E-12;-272.698E-12;-301.072E-12;-283.733E-12;-282.156E-12;-290.038E-12;-305.801E-12;-291.614E-12;-302.648E-12
61;6000;-34.678E-12;-25.221E-12;-28.373E-12;-23.644E-12;-36.255E-12;-45.712E-12;-55.170E-12;-58.323E-12;-66.204E-12;-80.391E-12;-91.425E-12;-89.849E-12;-94.578E-12;-108.764E-12;-119.798E-12;-135.561E-12;-152.900E-12;-192.308E-12;-219.105E-12;-238.020E-12;-286.885E-12;-264.817E-12;-285.309E-12;-283.733E-12;-290.038E-12;-280.580E-12;-286.885E-12;-296.343E-12;-296.343E-12
62;6100;-18.916E-12;-33.102E-12;-29.950E-12;-31.526E-12;-31.526E-12;-45.712E-12;-48.865E-12;-61.475E-12;-64.628E-12;-81.967E-12;-75.662E-12;-97.730E-12;-94.578E-12;-99.306E-12;-118.222E-12;-130.832E-12;-151.324E-12;-190.731E-12;-225.410E-12;-241.173E-12;-277.427E-12;-258.512E-12;-271.122E-12;-272.698E-12;-277.427E-12;-290.038E-12;-293.190E-12;-297.919E-12;-304.224E-12
63;6200;-29.950E-12;-33.102E-12;-36.255E-12;-28.373E-12;-36.255E-12;-42.560E-12;-44.136E-12;-53.594E-12;-74.086E-12;-78.815E-12;-85.120E-12;-96.154E-12;-93.001E-12;-105.612E-12;-119.798E-12;-135.561E-12;-149.748E-12;-193.884E-12;-223.833E-12;-233.291E-12;-263.241E-12;-258.512E-12;-274.275E-12;-288.461E-12;-288.461E-12;-296.343E-12;-297.919E-12;-294.767E-12;-288.461E-12
64;6300;-31.526E-12;-29.950E-12;-34.678E-12;-31.526E-12;-40.984E-12;-40.984E-12;-53.594E-12;-56.747E-12;-74.086E-12;-93.001E-12;-94.578E-12;-89.849E-12;-93.001E-12;-99.306E-12;-118.222E-12;-130.832E-12;-138.714E-12;-198.613E-12;-222.257E-12;-239.596E-12;-272.698E-12;-261.664E-12;-279.004E-12;-275.851E-12;-283.733E-12;-293.190E-12;-297.919E-12;-294.767E-12;-296.343E-12
65;6400;-33.102E-12;-22.068E-12;-33.102E-12;-28.373E-12;-39.407E-12;-37.831E-12;-50.441E-12;-58.323E-12;-72.509E-12;-75.662E-12;-93.001E-12;-89.849E-12;-100.883E-12;-89.849E-12;-118.222E-12;-122.951E-12;-151.324E-12;-198.613E-12;-220.681E-12;-252.207E-12;-258.512E-12;-269.546E-12;-264.817E-12;-271.122E-12;-283.733E-12;-286.885E-12;-301.072E-12;-296.343E-12;-305.801E-12
66;6500;-20.492E-12;-33.102E-12;-31.526E-12;-28.373E-12;-36.255E-12;-50.441E-12;-50.441E-12;-58.323E-12;-74.086E-12;-75.662E-12;-78.815E-12;-100.883E-12;-100.883E-12;-96.154E-12;-119.798E-12;-137.137E-12;-146.595E-12;-197.036E-12;-217.528E-12;-231.715E-12;-261.664E-12;-267.970E-12;-277.427E-12;-277.427E-12;-288.461E-12;-290.038E-12;-304.224E-12;-294.767E-12;-302.648E-12
67;6600;-28.373E-12;-29.950E-12;-37.831E-12;-33.102E-12;-29.950E-12;-40.984E-12;-50.441E-12;-48.865E-12;-66.204E-12;-78.815E-12;-85.120E-12;-86.696E-12;-94.578E-12;-105.612E-12;-121.374E-12;-146.595E-12;-137.137E-12;-182.850E-12;-220.681E-12;-233.291E-12;-263.241E-12;-266.393E-12;-279.004E-12;-275.851E-12;-272.698E-12;-280.580E-12;-301.072E-12;-299.495E-12;-294.767E-12
68;6700;-28.373E-12;-33.102E-12;-33.102E-12;-29.950E-12;-44.136E-12;-45.712E-12;-37.831E-12;-61.475E-12;-70.933E-12;-83.543E-12;-80.391E-12;-91.425E-12;-96.154E-12;-102.459E-12;-118.222E-12;-133.985E-12;-145.019E-12;-203.342E-12;-223.833E-12;-244.325E-12;-267.970E-12;-267.970E-12;-286.885E-12;-269.546E-12;-282.156E-12;-285.309E-12;-288.461E-12;-304.224E-12;-301.072E-12
69;6800;-31.526E-12;-26.797E-12;-28.373E-12;-28.373E-12;-39.407E-12;-45.712E-12;-45.712E-12;-58.323E-12;-78.815E-12;-75.662E-12;-86.696E-12;-86.696E-12;-97.730E-12;-100.883E-12;-119.798E-12;-138.714E-12;-148.171E-12;-203.342E-12;-226.986E-12;-222.257E-12;-269.546E-12;-267.970E-12;-288.461E-12;-286.885E-12;-282.156E-12;-285.309E-12;-302.648E-12;-302.648E-12;-304.224E-12
70;6900;-31.526E-12;-23.644E-12;-34.678E-12;-31.526E-12;-34.678E-12;-47.289E-12;-45.712E-12;-55.170E-12;-66.204E-12;-72.509E-12;-93.001E-12;-89.849E-12;-99.306E-12;-110.340E-12;-132.409E-12;-129.256E-12;-148.171E-12;-206.494E-12;-222.257E-12;-231.715E-12;-260.088E-12;-274.275E-12;-275.851E-12;-294.767E-12;-285.309E-12;-301.072E-12;-304.224E-12;-297.919E-12;-296.343E-12
71;7000;-31.526E-12;-34.678E-12;-26.797E-12;-33.102E-12;-37.831E-12;-36.255E-12;-48.865E-12;-47.289E-12;-64.628E-12;-77.238E-12;-91.425E-12;-78.815E-12;-104.035E-12;-111.917E-12;-110.340E-12;-135.561E-12;-140.290E-12;-200.189E-12;-220.681E-12;-234.867E-12;-264.817E-12;-274.275E-12;-280.580E-12;-277.427E-12;-291.614E-12;-307.377E-12;-305.801E-12;-301.072E-12;-288.461E-12
72;7100;-37.831E-12;-20.492E-12;-25.221E-12;-28.373E-12;-36.255E-12;-31.526E-12;-39.407E-12;-50.441E-12;-63.052E-12;-72.509E-12;-94.578E-12;-77.238E-12;-94.578E-12;-107.188E-12;-122.951E-12;-132.409E-12;-152.900E-12;-200.189E-12;-222.257E-12;-231.715E-12;-272.698E-12;-261.664E-12;-282.156E-12;-285.309E-12;-288.461E-12;-294.767E-12;-302.648E-12;-296.343E-12;-302.648E-12
73;7200;-42.560E-12;-22.068E-12;-40.984E-12;-28.373E-12;-42.560E-12;-36.255E-12;-34.678E-12;-59.899E-12;-59.899E-12;-75.662E-12;-93.001E-12;-83.543E-12;-104.035E-12;-97.730E-12;-119.798E-12;-137.137E-12;-152.900E-12;-200.189E-12;-226.986E-12;-233.291E-12;-256.936E-12;-269.546E-12;-279.004E-12;-290.038E-12;-277.427E-12;-290.038E-12;-304.224E-12;-302.648E-12;-293.190E-12
74;7300;-26.797E-12;-23.644E-12;-28.373E-12;-36.255E-12;-42.560E-12;-33.102E-12;-34.678E-12;-59.899E-12;-56.747E-12;-66.204E-12;-86.696E-12;-91.425E-12;-94.578E-12;-97.730E-12;-119.798E-12;-135.561E-12;-151.324E-12;-203.342E-12;-223.833E-12;-225.410E-12;-261.664E-12;-269.546E-12;-269.546E-12;-274.275E-12;-285.309E-12;-285.309E-12;-299.495E-12;-286.885E-12;-297.919E-12
75;7400;-23.644E-12;-28.373E-12;-22.068E-12;-29.950E-12;-47.289E-12;-34.678E-12;-48.865E-12;-56.747E-12;-74.086E-12;-88.272E-12;-83.543E-12;-81.967E-12;-99.306E-12;-105.612E-12;-118.222E-12;-133.985E-12;-143.443E-12;-187.579E-12;-217.528E-12;-242.749E-12;-266.393E-12;-252.207E-12;-282.156E-12;-288.461E-12;-283.733E-12;-277.427E-12;-286.885E-12;-296.343E-12;-297.919E-12
76;7500;-33.102E-12;-29.950E-12;-29.950E-12;-18.916E-12;-28.373E-12;-40.984E-12;-44.136E-12;-40.984E-12;-75.662E-12;-72.509E-12;-75.662E-12;-96.154E-12;-102.459E-12;-97.730E-12;-118.222E-12;-138.714E-12;-132.409E-12;-190.731E-12;-217.528E-12;-241.173E-12;-267.970E-12;-255.359E-12;-282.156E-12;-275.851E-12;-282.156E-12;-297.919E-12;-301.072E-12;-288.461E-12;-301.072E-12
77;7600;-39.407E-12;-31.526E-12;-36.255E-12;-26.797E-12;-29.950E-12;-47.289E-12;-47.289E-12;-53.594E-12;-78.815E-12;-74.086E-12;-89.849E-12;-86.696E-12;-83.543E-12;-99.306E-12;-115.069E-12;-137.137E-12;-148.171E-12;-192.308E-12;-223.833E-12;-231.715E-12;-263.241E-12;-252.207E-12;-288.461E-12;-286.885E-12;-285.309E-12;-296.343E-12;-304.224E-12;-290.038E-12;-302.648E-12
78;7700;-33.102E-12;-39.407E-12;-44.136E-12;-34.678E-12;-36.255E-12;-40.984E-12;-39.407E-12;-56.747E-12;-64.628E-12;-80.391E-12;-93.001E-12;-91.425E-12;-96.154E-12;-104.035E-12;-113.493E-12;-130.832E-12;-145.019E-12;-190.731E-12;-217.528E-12;-238.020E-12;-263.241E-12;-261.664E-12;-291.614E-12;-288.461E-12;-275.851E-12;-288.461E-12;-293.190E-12;-291.614E-12;-302.648E-12
79;7800;-33.102E-12;-34.678E-12;-39.407E-12;-39.407E-12;-34.678E-12;-42.560E-12;-45.712E-12;-55.170E-12;-72.509E-12;-74.086E-12;-78.815E-12;-93.001E-12;-86.696E-12;-93.001E-12;-116.646E-12;-138.714E-12;-141.866E-12;-200.189E-12;-222.257E-12;-226.986E-12;-267.970E-12;-269.546E-12;-280.580E-12;-282.156E-12;-280.580E-12;-288.461E-12;-305.801E-12;-296.343E-12;-304.224E-12
80;7900;-37.831E-12;-29.950E-12;-45.712E-12;-33.102E-12;-25.221E-12;-37.831E-12;-40.984E-12;-55.170E-12;-74.086E-12;-78.815E-12;-89.849E-12;-94.578E-12;-89.849E-12;-88.272E-12;-115.069E-12;-141.866E-12;-130.832E-12;-201.765E-12;-234.867E-12;-230.139E-12;-274.275E-12;-258.512E-12;-280.580E-12;-279.004E-12;-285.309E-12;-280.580E-12;-296.343E-12;-297.919E-12;-297.919E-12
81;8000;-34.678E-12;-25.221E-12;-33.102E-12;-28.373E-12;-48.865E-12;-44.136E-12;-45.712E-12;-45.712E-12;-72.509E-12;-77.238E-12;-86.696E-12;-93.001E-12;-99.306E-12;-96.154E-12;-122.951E-12;-138.714E-12;-141.866E-12;-198.613E-12;-225.410E-12;-234.867E-12;-258.512E-12;-263.241E-12;-290.038E-12;-280.580E-12;-285.309E-12;-282.156E-12;-296.343E-12;-297.919E-12;-294.767E-12
82;8100;-36.255E-12;-36.255E-12;-20.492E-12;-33.102E-12;-31.526E-12;-47.289E-12;-52.018E-12;-64.628E-12;-69.357E-12;-83.543E-12;-72.509E-12;-83.543E-12;-96.154E-12;-86.696E-12;-115.069E-12;-135.561E-12;-143.443E-12;-206.494E-12;-223.833E-12;-241.173E-12;-264.817E-12;-264.817E-12;-288.461E-12;-280.580E-12;-280.580E-12;-279.004E-12;-294.767E-12;-294.767E-12;-288.461E-12
83;8200;-33.102E-12;-42.560E-12;-40.984E-12;-23.644E-12;-36.255E-12;-33.102E-12;-50.441E-12;-56.747E-12;-72.509E-12;-78.815E-12;-97.730E-12;-94.578E-12;-97.730E-12;-91.425E-12;-129.256E-12;-140.290E-12;-148.171E-12;-209.647E-12;-215.952E-12;-231.715E-12;-272.698E-12;-274.275E-12;-280.580E-12;-279.004E-12;-282.156E-12;-293.190E-12;-297.919E-12;-294.767E-12;-302.648E-12
84;8300;-22.068E-12;-34.678E-12;-37.831E-12;-29.950E-12;-37.831E-12;-42.560E-12;-48.865E-12;-56.747E-12;-69.357E-12;-83.543E-12;-88.272E-12;-97.730E-12;-97.730E-12;-100.883E-12;-127.680E-12;-130.832E-12;-148.171E-12;-201.765E-12;-222.257E-12;-239.596E-12;-269.546E-12;-263.241E-12;-294.767E-12;-271.122E-12;-286.885E-12;-304.224E-12;-297.919E-12;-297.919E-12;-302.648E-12
85;8400;-28.373E-12;-33.102E-12;-45.712E-12;-26.797E-12;-36.255E-12;-47.289E-12;-47.289E-12;-59.899E-12;-70.933E-12;-75.662E-12;-86.696E-12;-96.154E-12;-102.459E-12;-99.306E-12;-122.951E-12;-138.714E-12;-140.290E-12;-208.071E-12;-215.952E-12;-239.596E-12;-267.970E-12;-264.817E-12;-274.275E-12;-271.122E-12;-280.580E-12;-294.767E-12;-290.038E-12;-294.767E-12;-299.495E-12
86;8500;-28.373E-12;-31.526E-12;-40.984E-12;-26.797E-12;-44.136E-12;-47.289E-12;-52.018E-12;-55.170E-12;-72.509E-12;-80.391E-12;-81.967E-12;-81.967E-12;-88.272E-12;-93.001E-12;-116.646E-12;-137.137E-12;-145.019E-12;-201.765E-12;-217.528E-12;-241.173E-12;-260.088E-12;-264.817E-12;-277.427E-12;-272.698E-12;-290.038E-12;-285.309E-12;-304.224E-12;-290.038E-12;-297.919E-12
87;8600;-31.526E-12;-34.678E-12;-23.644E-12;-29.950E-12;-33.102E-12;-40.984E-12;-36.255E-12;-44.136E-12;-66.204E-12;-77.238E-12;-83.543E-12;-89.849E-12;-93.001E-12;-111.917E-12;-116.646E-12;-137.137E-12;-145.019E-12;-203.342E-12;-222.257E-12;-241.173E-12;-249.054E-12;-267.970E-12;-283.733E-12;-283.733E-12;-299.495E-12;-294.767E-12;-305.801E-12;-285.309E-12;-296.343E-12
88;8700;-28.373E-12;-40.984E-12;-40.984E-12;-29.950E-12;-28.373E-12;-44.136E-12;-45.712E-12;-48.865E-12;-83.543E-12;-75.662E-12;-83.543E-12;-94.578E-12;-89.849E-12;-100.883E-12;-126.103E-12;-130.832E-12;-151.324E-12;-200.189E-12;-220.681E-12;-241.173E-12;-260.088E-12;-267.970E-12;-271.122E-12;-286.885E-12;-294.767E-12;-288.461E-12;-307.377E-12;-293.190E-12;-301.072E-12
89;8800;-33.102E-12;-36.255E-12;-36.255E-12;-28.373E-12;-31.526E-12;-50.441E-12;-44.136E-12;-44.136E-12;-69.357E-12;-75.662E-12;-83.543E-12;-100.883E-12;-83.543E-12;-107.188E-12;-132.409E-12;-133.985E-12;-146.595E-12;-203.342E-12;-217.528E-12;-236.444E-12;-256.936E-12;-263.241E-12;-280.580E-12;-285.309E-12;-291.614E-12;-293.190E-12;-305.801E-12;-296.343E-12;-301.072E-12
90;8900;-31.526E-12;-26.797E-12;-26.797E-12;-25.221E-12;-39.407E-12;-44.136E-12;-42.560E-12;-52.018E-12;-74.086E-12;-70.933E-12;-85.120E-12;-94.578E-12;-88.272E-12;-93.001E-12;-119.798E-12;-140.290E-12;-152.900E-12;-209.647E-12;-225.410E-12;-228.562E-12;-256.936E-12;-272.698E-12;-271.122E-12;-280.580E-12;-285.309E-12;-285.309E-12;-305.801E-12;-302.648E-12;-301.072E-12
91;9000;-31.526E-12;-22.068E-12;-26.797E-12;-26.797E-12;-44.136E-12;-48.865E-12;-45.712E-12;-59.899E-12;-70.933E-12;-72.509E-12;-81.967E-12;-85.120E-12;-99.306E-12;-110.340E-12;-107.188E-12;-138.714E-12;-140.290E-12;-201.765E-12;-230.139E-12;-238.020E-12;-249.054E-12;-271.122E-12;-267.970E-12;-285.309E-12;-271.122E-12;-288.461E-12;-299.495E-12;-293.190E-12;-299.495E-12
92;9100;-25.221E-12;-26.797E-12;-39.407E-12;-31.526E-12;-33.102E-12;-37.831E-12;-55.170E-12;-50.441E-12;-69.357E-12;-77.238E-12;-85.120E-12;-85.120E-12;-102.459E-12;-102.459E-12;-116.646E-12;-130.832E-12;-145.019E-12;-193.884E-12;-228.562E-12;-239.596E-12;-260.088E-12;-260.088E-12;-274.275E-12;-280.580E-12;-274.275E-12;-282.156E-12;-312.106E-12;-304.224E-12;-304.224E-12
93;9200;-39.407E-12;-28.373E-12;-33.102E-12;-22.068E-12;-37.831E-12;-40.984E-12;-56.747E-12;-61.475E-12;-64.628E-12;-78.815E-12;-75.662E-12;-96.154E-12;-104.035E-12;-99.306E-12;-115.069E-12;-140.290E-12;-146.595E-12;-203.342E-12;-222.257E-12;-234.867E-12;-264.817E-12;-271.122E-12;-279.004E-12;-275.851E-12;-290.038E-12;-304.224E-12;-304.224E-12;-291.614E-12;-296.343E-12
94;9300;-25.221E-12;-26.797E-12;-31.526E-12;-29.950E-12;-42.560E-12;-50.441E-12;-52.018E-12;-56.747E-12;-72.509E-12;-75.662E-12;-86.696E-12;-96.154E-12;-100.883E-12;-100.883E-12;-115.069E-12;-135.561E-12;-152.900E-12;-201.765E-12;-222.257E-12;-245.902E-12;-260.088E-12;-274.275E-12;-296.343E-12;-280.580E-12;-277.427E-12;-293.190E-12;-301.072E-12;-293.190E-12;-312.106E-12
95;9400;-34.678E-12;-22.068E-12;-29.950E-12;-28.373E-12;-28.373E-12;-36.255E-12;-29.950E-12;-66.204E-12;-69.357E-12;-69.357E-12;-80.391E-12;-91.425E-12;-96.154E-12;-96.154E-12;-127.680E-12;-145.019E-12;-138.714E-12;-201.765E-12;-219.105E-12;-247.478E-12;-255.359E-12;-267.970E-12;-282.156E-12;-285.309E-12;-275.851E-12;-285.309E-12;-296.343E-12;-299.495E-12;-291.614E-12
96;9500;-22.068E-12;-20.492E-12;-28.373E-12;-29.950E-12;-39.407E-12;-39.407E-12;-45.712E-12;-56.747E-12;-78.815E-12;-70.933E-12;-83.543E-12;-91.425E-12;-99.306E-12;-96.154E-12;-119.798E-12;-143.443E-12;-145.019E-12;-200.189E-12;-211.223E-12;-234.867E-12;-260.088E-12;-279.004E-12;-283.733E-12;-282.156E-12;-291.614E-12;-302.648E-12;-294.767E-12;-299.495E-12;-297.919E-12
97;9600;-20.492E-12;-25.221E-12;-29.950E-12;-28.373E-12;-40.984E-12;-39.407E-12;-47.289E-12;-53.594E-12;-70.933E-12;-77.238E-12;-78.815E-12;-93.001E-12;-96.154E-12;-99.306E-12;-115.069E-12;-132.409E-12;-146.595E-12;-203.342E-12;-219.105E-12;-242.749E-12;-261.664E-12;-263.241E-12;-282.156E-12;-269.546E-12;-290.038E-12;-301.072E-12;-296.343E-12;-299.495E-12;-296.343E-12
98;9700;-23.644E-12;-25.221E-12;-39.407E-12;-25.221E-12;-37.831E-12;-42.560E-12;-44.136E-12;-56.747E-12;-70.933E-12;-72.509E-12;-75.662E-12;-93.001E-12;-93.001E-12;-105.612E-12;-99.306E-12;-126.103E-12;-149.748E-12;-198.613E-12;-219.105E-12;-239.596E-12;-271.122E-12;-263.241E-12;-283.733E-12;-279.004E-12;-280.580E-12;-296.343E-12;-299.495E-12;-299.495E-12;-291.614E-12
99;9800;-28.373E-12;-34.678E-12;-31.526E-12;-25.221E-12;-33.102E-12;-34.678E-12;-40.984E-12;-53.594E-12;-72.509E-12;-75.662E-12;-83.543E-12;-94.578E-12;-96.154E-12;-99.306E-12;-121.374E-12;-135.561E-12;-143.443E-12;-203.342E-12;-223.833E-12;-234.867E-12;-249.054E-12;-264.817E-12;-283.733E-12;-279.004E-12;-280.580E-12;-288.461E-12;-293.190E-12;-308.953E-12;-297.919E-12
100;9900;-34.678E-12;-34.678E-12;-29.950E-12;-28.373E-12;-33.102E-12;-34.678E-12;-45.712E-12;-61.475E-12;-72.509E-12;-67.781E-12;-86.696E-12;-91.425E-12;-104.035E-12;-110.340E-12;-108.764E-12;-130.832E-12;-146.595E-12;-197.036E-12;-219.105E-12;-236.444E-12;-260.088E-12;-266.393E-12;-283.733E-12;-291.614E-12;-274.275E-12;-280.580E-12;-297.919E-12;-304.224E-12;-297.919E-12
101;10000;-31.526E-12;-37.831E-12;-55.170E-12;-39.407E-12;-69.357E-12;-70.933E-12;-69.357E-12;-78.815E-12;-94.578E-12;-107.188E-12;-126.103E-12;-122.951E-12;-148.171E-12;-151.324E-12;-159.205E-12;-181.274E-12;-198.613E-12;-242.749E-12;-275.851E-12;-283.733E-12;-319.987E-12;-312.106E-12;-310.529E-12;-323.140E-12;-329.445E-12;-321.563E-12;-329.445E-12;-329.445E-12;-332.598E-12
102;10100;-55.170E-12;-100.883E-12;-130.832E-12;-171.816E-12;-192.308E-12;-226.986E-12;-244.325E-12;-267.970E-12;-305.801E-12;-351.513E-12;-405.107E-12;-450.819E-12;-510.719E-12;-550.126E-12;-600.567E-12;-649.432E-12;-666.771E-12;-710.908E-12;-723.518E-12;-728.247E-12;-739.281E-12;-717.213E-12;-725.094E-12;-720.365E-12;-704.602E-12;-696.721E-12;-671.500E-12;-638.398E-12;-622.635E-12
103;10200;-59.899E-12;-141.866E-12;-211.223E-12;-293.190E-12;-340.479E-12;-403.531E-12;-438.209E-12;-479.193E-12;-545.397E-12;-630.517E-12;-717.213E-12;-814.943E-12;-900.063E-12;-980.453E-12;-1.067E-9;-1.105E-9;-1.124E-9;-1.174E-9;-1.190E-9;-1.196E-9;-1.206E-9;-1.181E-9;-1.157E-9;-1.160E-9;-1.127E-9;-1.110E-9;-1.070E-9;-1.021E-9;-996.216E-12
104;10300;-66.204E-12;-159.205E-12;-247.478E-12;-329.445E-12;-372.005E-12;-424.022E-12;-469.735E-12;-528.058E-12;-575.346E-12;-663.619E-12;-751.891E-12;-824.401E-12;-914.249E-12;-959.962E-12;-1.042E-9;-1.077E-9;-1.100E-9;-1.140E-9;-1.168E-9;-1.185E-9;-1.192E-9;-1.170E-9;-1.168E-9;-1.155E-9;-1.141E-9;-1.130E-9;-1.108E-9;-1.067E-9;-1.044E-9
